SN,ContractNo,Symbol,Buyer,Seller,Quantity,Rate,Amount
1,2025050501015480,HIDCLP,94,85,632,214.9,"135,816.80"
2,2025050501015479,HIDCLP,94,26,270,214.5,"57,915"
3,2025050501015478,HIDCLP,94,50,24,214.5,"5,148"
4,2025050501015477,HIDCLP,94,58,84,214,"17,976"
5,2025050501015476,HIDCLP,94,16,990,213.9,"211,761"
6,2025050503008986,RSDC,51,59,10,653.8,"6,538"
7,2025050504029396,HURJA,34,32,100,252.5,"25,250"
8,2025050503008985,SINDU,17,5,10,950,"9,500"
9,2025050503008984,SAPDBL,17,65,50,899,"44,950"
10,2025050501015475,IHL,81,41,21,620,"13,020"
11,2025050501015474,IHL,81,58,10,620,"6,200" 
12,2025050501015473,IHL,81,58,10,615,"6,150"
13,2025050501015472,IHL,81,48,19,615,"11,685"
14,2025050504029395,GHL,56,28,490,254.1,"124,509"
15,2025050501015471,SPHL,49,90,50,699,"34,950"
16,2025050504029394,RADHI,39,11,40,700,"28,000"
17,2025050504029393,RADHI,39,55,60,700,"42,000"
18,2025050503008983,CBBL,32,44,60,845.9,"50,754"
19,2025050504029392,NHPC,6,63,360,223.9,"80,604"
20,2025050504029391,NHPC,53,63,140,223.9,"31,346"
21,2025050505012022,NIFRA,45,49,150,286,"42,900"
22,2025050505012021,NIFRA,45,91,350,286,"100,100"
23,2025050504029390,UPCL,67,45,25,379.5,"9,487.50"
24,2025050503008982,GRDBL,32,33,28,"1,191.10","33,350.80"
25,2025050503008981,GRDBL,58,33,10,"1,191.10","11,911"
26,2025050501015470,NIMB,7,38,500,204,"102,000"
27,2025050505012020,GCIL,25,49,100,501,"50,100"
28,2025050504029389,BARUN,58,95,40,550,"22,000"
29,2025050504029388,BARUN,11,95,10,550.1,"5,501"
30,2025050504029387,BARUN,26,95,50,550.1,"27,505"
31,2025050504029386,SHPC,97,49,500,586,"293,000"
32,2025050504029385,UPCL,16,42,608,380,"231,040"
33,2025050504029384,UPCL,16,22,30,380,"11,400"
34,2025050504029383,UPCL,16,38,200,380,"76,000"
35,2025050504029382,UPCL,16,41,20,380,"7,600"
36,2025050504029381,UPCL,16,95,142,380,"53,960"
37,2025050503008980,MSLB,21,55,10,"1,140.20","11,402"
38,2025050503008979,MSLB,83,55,50,"1,140.30","57,015"
39,2025050503008978,MSLB,38,55,10,"1,143","11,430"
40,2025050503008977,MSLB,58,55,22,"1,143","25,146"
41,2025050503008976,MSLB,34,55,110,"1,143.10","125,741"
42,2025050503008975,MSLB,47,55,100,"1,143.20","114,320"
43,2025050503008974,MSLB,59,55,10,"1,144.10","11,441"
44,2025050503008973,MSLB,42,55,20,"1,144.20","22,884"
45,2025050503008972,MSLB,57,55,70,"1,144.30","80,101"
46,2025050501015469,SCB,45,13,200,601.2,"120,240"
47,2025050504029380,LEC,84,13,335,215.6,"72,226"
48,2025050505012019,SMATA,4,62,10,762,"7,620"
49,2025050504029379,SHEL,1,34,50,264.3,"13,215"
50,2025050505012018,SMJC,48,35,60,526,"31,560"
51,2025050505012017,SMJC,48,91,30,525.9,"15,777"
52,2025050505012016,SMJC,48,58,10,525,"5,250"
53,2025050503008971,KMCDB,25,5,10,974.9,"9,749"
54,2025050504029378,UPCL,52,95,258,380,"98,040"
55,2025050504029377,UPCL,52,67,290,380,"110,200"
56,2025050504029376,UPCL,52,84,112,379.9,"42,548.80"
57,2025050504029375,SPDL,44,58,626,392.8,"245,892.80"
58,2025050504029374,SPDL,44,7,25,392.7,"9,817.50"
59,2025050504029373,SPDL,44,57,300,392.6,"117,780"
60,2025050504029372,SPDL,44,16,349,392.4,"136,947.60"
61,2025050501015468,MKJC,57,34,10,529,"5,290"
62,2025050504029371,UPCL,36,84,88,379.9,"33,431.20"
63,2025050504029370,UPCL,36,19,52,379.9,"19,754.80"
64,2025050504029369,NHPC,58,56,13,223.9,"2,910.70"
65,2025050504029368,RADHI,17,55,10,700,"7,000"
66,2025050501015467,ADBL,34,49,66,280.2,"18,493.20"
67,2025050501015466,MEHL,34,57,10,498.5,"4,985"
68,2025050503008970,NFS,42,70,300,608,"182,400"
69,2025050504029367,MHNL,21,42,184,264.6,"48,686.40"
70,2025050504029366,MHNL,14,42,10,264.6,"2,646"
71,2025050504029365,MHNL,48,42,500,265,"132,500"
72,2025050501015465,GBIME,14,81,62,215.9,"13,385.80"
73,2025050501015464,GBIME,22,81,629,215.9,"135,801.10"
74,2025050501015463,GBIME,42,81,"2,000",215.9,"431,800"
75,2025050501015462,GBIME,57,81,60,215.9,"12,954"
76,2025050501015461,GBIME,14,81,50,215.9,"10,795"
77,2025050501015460,GBIME,82,81,199,215.9,"42,964.10"
78,2025050504029364,NGPL,28,49,100,368,"36,800"
79,2025050504029363,UMHL,39,45,450,502.7,"226,215"
80,2025050504029362,UMHL,39,38,100,502.7,"50,270"
81,2025050504029361,UMHL,39,14,90,502.7,"45,243"
82,2025050504029360,SGIC,4,39,100,551,"55,100"
83,2025050501015459,CYCL,33,58,10,"1,580.10","15,801"
84,2025050501015458,CYCL,22,58,10,"1,580.20","15,802"
85,2025050501015457,CYCL,44,58,10,"1,580.50","15,805"
86,2025050504029359,RADHI,84,55,10,700,"7,000"
87,2025050504029358,UMHL,39,55,200,501.9,"100,380"
88,2025050501015456,HHL,29,13,100,404,"40,400"
89,2025050501015455,GSY,4,40,100,9.32,932
90,2025050505012015,MBJC,1,58,10,317,"3,170"
91,2025050504029357,SPIL,48,44,10,800,"8,000"
92,2025050504029356,SJCL,48,50,10,326.8,"3,268"
93,2025050505012014,NTC,58,59,20,873.1,"17,462"
94,2025050503008969,RLFL,57,44,60,481.8,"28,908"
95,2025050504029355,RHPL,56,44,80,390,"31,200"
96,2025050504029354,RHPL,56,41,80,390,"31,200"
97,2025050504029353,RHPL,56,42,50,390,"19,500"
98,2025050504029352,RHPL,56,44,405,390,"157,950"
99,2025050504029351,RHPL,56,43,10,390,"3,900"
100,2025050504029350,RHPL,56,45,10,390,"3,900"
101,2025050504029349,RHPL,56,45,10,390,"3,900"
102,2025050504029348,RIDI,17,39,55,258,"14,190"
103,2025050501015454,MKHL,34,57,10,700,"7,000"
104,2025050501015453,MKHL,34,58,20,700,"14,000"
105,2025050501015452,MKHL,34,45,26,700,"18,200"
106,2025050501015451,RFPL,55,47,62,545.9,"33,845.80"
107,2025050501015450,RFPL,37,47,30,547,"16,410"
108,2025050501015449,RFPL,58,47,30,548,"16,440"
109,2025050501015448,RFPL,22,47,51,548,"27,948"
110,2025050501015447,RFPL,13,47,10,548,"5,480"
111,2025050501015446,RFPL,42,47,10,548,"5,480"
112,2025050501015445,RFPL,34,47,30,549,"16,470"
113,2025050501015444,RFPL,13,47,10,549,"5,490"
114,2025050501015443,RFPL,42,47,10,549,"5,490"
115,2025050501015442,RFPL,58,47,455,549.1,"249,840.50"
116,2025050501015441,RFPL,42,47,90,550,"49,500"
117,2025050501015440,RFPL,16,47,50,550,"27,500"
118,2025050501015439,RFPL,34,47,50,550,"27,500"
119,2025050501015438,RFPL,41,47,112,550,"61,600"
120,2025050501015437,SBI,58,28,50,379.4,"18,970"
121,2025050501015436,SBL,45,42,10,266.5,"2,665"
122,2025050501015435,SBL,45,46,20,266,"5,320"
123,2025050501015434,SBL,45,42,116,266,"30,856"
124,2025050504029347,GLH,45,35,150,270,"40,500"
125,2025050505012013,CIT,44,26,20,"1,926","38,520"
126,2025050504029346,UPCL,66,19,20,379.9,"7,598"
127,2025050501015433,MAKAR,65,65,"7,695",755.3,"5,812,033.50"
128,2025050501015432,MAKAR,65,52,100,755,"75,500"
129,2025050501015431,MAKAR,65,59,90,754.8,"67,932"
130,2025050501015430,MAKAR,65,46,500,754,"377,000"
131,2025050501015429,MAKAR,65,57,665,750,"498,750"
132,2025050501015428,MAKAR,65,14,250,714,"178,500"
133,2025050501015427,MAKAR,65,65,500,713.8,"356,900"
134,2025050501015426,MAKAR,65,43,10,713.8,"7,138"
135,2025050501015425,MAKAR,65,7,40,713.8,"28,552"
136,2025050501015424,MAKAR,65,47,100,713.8,"71,380"
137,2025050501015423,MAKAR,65,57,10,708.9,"7,089"
138,2025050501015422,MAKAR,65,45,10,705,"7,050"
139,2025050501015421,MAKAR,65,29,30,699.9,"20,997"
140,2025050501015420,NMB,22,43,40,232.8,"9,312"
141,2025050501015419,NMB,14,43,100,232.8,"23,280"
142,2025050501015418,NMB,42,43,500,233,"116,500"
143,2025050501015417,NMB,49,43,300,233,"69,900"
144,2025050501015416,NMB,58,43,50,233,"11,650"
145,2025050501015415,NMB,49,43,10,233,"2,330"
146,2025050504029345,SALICO,20,50,48,680,"32,640"
147,2025050505012012,HRL,58,77,106,970,"102,820"
148,2025050505012011,HRL,45,77,80,970,"77,600"
149,2025050505012010,HRL,42,77,50,970,"48,500"
150,2025050505012009,HRL,56,77,100,970,"97,000"
151,2025050505012008,HRL,32,77,100,970,"97,000"
152,2025050505012007,HRL,58,77,20,970,"19,400"
153,2025050505012006,HRL,62,77,100,970,"97,000"
154,2025050505012005,HRL,14,77,20,970,"19,400"
155,2025050505012004,HRL,32,77,100,970,"97,000"
156,2025050505012003,HRL,58,77,20,970,"19,400"
157,2025050505012002,HRL,84,77,50,970,"48,500"
158,2025050505012001,HRL,81,77,100,970,"97,000"
159,2025050505012000,HRL,34,77,500,970,"485,000"
160,2025050505011999,HRL,32,77,250,970,"242,500"
161,2025050505011998,HRL,45,77,21,970,"20,370"
162,2025050505011997,HRL,36,77,400,970.1,"388,040"
163,2025050505011996,HRL,26,77,100,970.1,"97,010"
164,2025050505011995,HRL,57,77,83,970.1,"80,518.30"
165,2025050501015414,RFPL,41,92,797,550,"438,350"
166,2025050501015413,RFPL,45,92,50,550,"27,500"
167,2025050501015412,RFPL,57,92,153,550,"84,150"
168,2025050504029344,NIL,48,8,118,737.5,"87,025"
169,2025050504029343,NIL,48,40,82,737,"60,434"
170,2025050504029342,SPDL,49,44,151,390.3,"58,935.30"
171,2025050504029341,SPDL,4,44,200,390.3,"78,060"
172,2025050504029340,SPDL,29,44,500,390.3,"195,150"
173,2025050504029339,SPDL,14,44,850,391,"332,350"
174,2025050504029338,SPDL,39,44,200,391.1,"78,220"
175,2025050504029337,SPDL,34,44,99,392,"38,808"
176,2025050504029336,UPCL,94,19,333,379.9,"126,506.70"
177,2025050503008968,SFCL,38,57,100,480,"48,000"
178,2025050505011994,HRL,57,57,17,970.1,"16,491.70"
179,2025050505011993,HRL,56,57,200,970.1,"194,020"
180,2025050505011992,HRL,44,57,10,970.1,"9,701"
181,2025050505011991,HRL,55,57,93,970.2,"90,228.60"
182,2025050505011990,HRL,57,57,50,970.4,"48,520"
183,2025050501015411,MEHL,56,57,10,498.5,"4,985"
184,2025050503008967,HLI,49,22,100,412,"41,200"
185,2025050501015410,NIMB,34,38,100,204,"20,400"
186,2025050504029335,SPDL,34,29,"1,000",392,"392,000"
187,2025050504029334,SPDL,34,59,500,392,"196,000"
188,2025050504029333,SPDL,34,44,287,392,"112,504"
189,2025050504029332,SPDL,34,59,114,392,"44,688"
190,2025050501015409,BHPL,62,34,50,980.1,"49,005"
191,2025050503008966,MLBL,46,28,50,366,"18,300"
192,2025050504029331,AKJCL,42,49,25,208,"5,200"
193,2025050504029330,AKJCL,42,58,105,207.9,"21,829.50"
194,2025050503008965,ICFC,39,58,28,569.9,"15,957.20"
195,2025050504029329,RHPL,57,39,500,388.3,"194,150"
196,2025050504029328,NGPL,6,49,500,368,"184,000"
197,2025050504029327,NGPL,42,49,95,368,"34,960"
198,2025050504029326,NGPL,49,49,144,368,"52,992"
199,2025050501015408,MBL,38,49,100,211,"21,100"
200,2025050505011989,HIDCL,41,58,490,304,"148,960"
201,2025050505011988,HIDCL,45,58,510,304.1,"155,091"
202,2025050503008964,GMFBS,58,39,50,"1,573","78,650"
203,2025050504029325,UAIL,58,55,390,605,"235,950"
204,2025050504029324,UPCL,45,19,67,379.9,"25,453.30"
205,2025050504029323,UPCL,45,38,133,379.9,"50,526.70"
206,2025050504029322,SHEL,54,26,750,264.1,"198,075"
207,2025050504029321,SHEL,42,26,400,264.2,"105,680"
208,2025050504029320,SHEL,33,26,50,264.3,"13,215"
209,2025050504029319,MEN,46,14,20,568,"11,360"
210,2025050504029318,SPDL,35,59,100,392,"39,200"
211,2025050504029317,UNHPL,7,21,83,331,"27,473"
212,2025050504029316,UNHPL,57,21,"1,300",331.1,"430,430"
213,2025050504029315,UNHPL,38,21,"1,500",331.2,"496,800"
214,2025050504029314,UNHPL,34,21,200,331.2,"66,240"
215,2025050504029313,UNHPL,84,21,100,331.5,"33,150"
216,2025050504029312,UNHPL,52,21,450,331.5,"149,175"
217,2025050504029311,UNHPL,45,21,20,332,"6,640"
218,2025050504029310,UNHPL,45,21,50,332,"16,600"
219,2025050504029309,UNHPL,57,21,469,332,"155,708"
220,2025050504029308,UNHPL,32,21,150,332.1,"49,815"
221,2025050503008963,MNBBL,7,58,50,352,"17,600"
222,2025050504029307,RADHI,19,55,120,700,"84,000"
223,2025050504029306,RADHI,19,29,80,699.5,"55,960"
224,2025050501015407,LSL,16,13,400,205.5,"82,200"
225,2025050501015406,USHEC,38,89,10,549,"5,490"
226,2025050501015405,TAMOR,38,5,50,500,"25,000"
227,2025050501015404,RBBD83,51,55,20,"1,070","21,400"
228,2025050501015403,RBBD83,51,46,3,"1,069.90","3,209.70"
229,2025050501015402,NYADI,29,38,50,523.1,"26,155"
230,2025050501015401,NYADI,29,43,50,523,"26,150"
231,2025050501015400,NYADI,29,61,100,522.5,"52,250"
232,2025050504029305,NGPL,34,74,172,368.5,"63,382"
233,2025050504029304,NGPL,34,13,200,368.5,"73,700"
234,2025050504029303,NGPL,34,6,95,368.5,"35,007.50"
235,2025050504029302,NGPL,34,25,200,368.4,"73,680"
236,2025050504029301,NGPL,34,6,750,368.4,"276,300"
237,2025050504029300,NGPL,34,45,583,368.4,"214,777.20"
238,2025050501015399,RFPL,57,32,290,550,"159,500"
239,2025050501015398,NABIL,49,32,17,479,"8,143"
240,2025050505011987,SONA,6,8,500,454.5,"227,250"
241,2025050505011986,SONA,8,8,200,454.5,"90,900"
242,2025050505011985,SONA,35,8,25,454.5,"11,362.50"
243,2025050505011984,SONA,89,8,10,454.9,"4,549"
244,2025050505011983,SONA,20,8,10,454.9,"4,549"
245,2025050505011982,SONA,58,8,100,455,"45,500"
246,2025050505011981,SONA,40,8,55,455,"25,025"
247,2025050504029299,UPPER,49,51,57,197.9,"11,280.30"
248,2025050501015397,PPL,63,57,10,467.9,"4,679"
249,2025050501015396,BHL,45,91,50,218.8,"10,940"
250,2025050505011980,HIDCL,41,65,50,304,"15,200"
251,2025050505011979,HIDCL,58,65,50,304.1,"15,205"
252,2025050505011978,HIDCL,41,65,100,304.5,"30,450"
253,2025050501015395,RFPL,57,21,57,550,"31,350"
254,2025050501015394,RFPL,42,21,100,550,"55,000"
255,2025050501015393,RFPL,3,21,143,550,"78,650"
256,2025050504029298,BPCL,33,14,88,453,"39,864"
257,2025050504029297,BPCL,7,14,212,453,"96,036"
258,2025050503008962,SADBL,21,26,10,385,"3,850"
259,2025050504029296,RIDI,7,39,190,258,"49,020"
260,2025050503008961,SAPDBL,91,65,50,899,"44,950"
261,2025050501015392,MCHL,38,75,450,566.1,"254,745"
262,2025050501015391,MCHL,32,75,50,566.4,"28,320"
263,2025050503008960,CFCL,6,86,30,540,"16,200"
264,2025050501015390,TVCL,58,86,10,507.1,"5,071"
265,2025050503008959,GILB,25,52,20,"1,180.20","23,604"
266,2025050504029295,AKJCL,42,58,200,207.9,"41,580"
267,2025050503008958,CFCL,34,43,10,545,"5,450"
268,2025050505011977,STC,54,70,35,"5,160","180,600"
269,2025050501015389,GMLI,55,32,10,"2,370","23,700"
270,2025050505011976,NIFRA,29,32,190,285.1,"54,169"
271,2025050505011975,NIFRA,38,32,500,285.1,"142,550"
272,2025050505011974,NIFRA,19,32,10,285.1,"2,851"
273,2025050505011973,NIFRA,3,32,300,285.2,"85,560"
274,2025050505011972,SONA,40,11,45,455,"20,475"
275,2025050505011971,SONA,42,11,40,455,"18,200"
276,2025050501015388,EHPL,58,39,10,592.9,"5,929"
277,2025050503008957,NICLBSL,49,35,50,616.1,"30,805"
278,2025050501015387,IHL,53,35,10,610,"6,100"
279,2025050504029294,GLH,21,7,200,269,"53,800"
280,2025050505011970,HRL,48,21,79,971.5,"76,748.50"
281,2025050505011969,HRL,48,44,250,971.3,"242,825"
282,2025050505011968,HRL,48,38,125,971.2,"121,400"
283,2025050505011967,HRL,48,4,20,971,"19,420"
284,2025050505011966,HRL,48,1,10,971,"9,710"
285,2025050505011965,HRL,48,48,16,970.3,"15,524.80"
286,2025050504029293,HDHPC,38,32,"1,000",200.2,"200,200"
287,2025050503008956,MDB,45,38,132,590,"77,880"
288,2025050503008955,MDB,22,38,50,590,"29,500"
289,2025050503008954,MDB,45,38,120,590.5,"70,860"
290,2025050503008953,MDB,45,38,188,591,"111,108"
291,2025050505011964,STC,54,48,50,"5,160","258,000"
292,2025050504029292,UPCL,48,67,10,380,"3,800"
293,2025050504029291,UPCL,64,58,100,380,"38,000"
294,2025050504029290,UPCL,64,32,55,380,"20,900"
295,2025050504029289,HEI,57,45,20,565,"11,300"
296,2025050501015386,TSHL,4,29,20,769,"15,380"
297,2025050503008952,WNLB,8,34,10,"2,557.50","25,575"
298,2025050504029288,SHPC,39,49,500,586,"293,000"
299,2025050503008951,LLBS,49,35,10,"1,031","10,310"
300,2025050504029287,SJCL,40,50,10,326.8,"3,268"
301,2025050501015385,GMLI,55,45,30,"2,370","71,100"
302,2025050504029286,UPCL,7,32,145,380,"55,100"
303,2025050504029285,UPCL,7,49,135,380,"51,300"
304,2025050504029284,UPCL,7,58,50,380,"19,000"
305,2025050504029283,UPCL,7,34,300,380,"114,000"
306,2025050504029282,UPCL,7,48,350,380,"133,000"
307,2025050504029281,UPCL,7,38,400,380,"152,000"
308,2025050504029280,UPCL,7,45,50,380,"19,000"
309,2025050504029279,UPCL,7,49,570,380,"216,600"
310,2025050501015384,MHCL,38,91,51,485,"24,735"
311,2025050501015383,MHCL,1,91,100,486,"48,600"
312,2025050501015382,MHCL,52,91,10,487,"4,870"
313,2025050501015381,NABIL,38,47,50,479.5,"23,975"
314,2025050505011963,RNLI,52,44,"2,989",505,"1,509,445"
315,2025050504029278,SHPC,17,49,"1,500",586,"879,000"
316,2025050501015380,GVL,6,81,35,432,"15,120"
317,2025050501015379,GVL,6,49,99,432,"42,768"
318,2025050501015378,GVL,6,4,100,431,"43,100"
319,2025050501015377,GVL,6,57,18,430.9,"7,756.20"
320,2025050501015376,GVL,6,35,48,430,"20,640"
321,2025050504029277,NGPL,49,28,100,368,"36,800"
322,2025050505011962,SAHAS,29,17,400,504,"201,600"
323,2025050505011961,SAHAS,29,7,100,504,"50,400"
324,2025050505011960,SAHAS,29,35,100,503.9,"50,390"
325,2025050505011959,SAHAS,29,70,450,503.5,"226,575"
326,2025050501015375,NWCL,87,38,10,935,"9,350"
327,2025050505011958,SAHAS,62,70,50,503.5,"25,175"
328,2025050501015374,BHL,34,91,200,218.8,"43,760"
329,2025050504029276,UPCL,49,49,430,380,"163,400"
330,2025050504029275,UPCL,49,13,270,380,"102,600"
331,2025050501015373,GMLI,58,57,10,"2,375","23,750"
332,2025050501015372,HIDCLP,58,16,10,213.9,"2,139"
333,2025050501015371,SCB,58,1,40,602,"24,080"
334,2025050501015370,BHL,41,16,134,218.5,"29,279"
335,2025050501015369,BHL,55,16,100,218.5,"21,850"
336,2025050501015368,BHL,45,16,496,218.5,"108,376"
337,2025050501015367,BHL,34,16,230,218.5,"50,255"
338,2025050501015366,BHL,42,16,40,218.5,"8,740"
339,2025050501015365,ULBSL,51,13,50,"2,975","148,750"
340,2025050501015364,ULBSL,55,13,10,"2,976","29,760"
341,2025050501015363,ULBSL,49,13,10,"2,976.10","29,761"
342,2025050504029274,SJCL,62,13,250,323.4,"80,850"
343,2025050505011957,HATHY,55,60,65,"1,290","83,850"
344,2025050504029273,UMHL,39,1,385,501.9,"193,231.50"
345,2025050504029272,UMHL,39,1,115,502,"57,730"
346,2025050505011956,NRIC,69,28,102,"1,232.90","125,755.80"
347,2025050505011955,NRIC,69,48,25,"1,232","30,800"
348,2025050505011954,NRIC,69,8,20,"1,232","24,640"
349,2025050505011953,NRIC,69,51,28,"1,231.90","34,493.20"
350,2025050505011952,NRIC,69,14,10,"1,231","12,310"
351,2025050505011951,NRIC,69,34,100,"1,231","123,100"
352,2025050505011950,NRIC,69,43,200,"1,230","246,000"
353,2025050505011949,NRIC,69,16,200,"1,230","246,000"
354,2025050505011948,NRIC,69,19,53,"1,230","65,190"
355,2025050505011947,NRIC,69,51,13,"1,228","15,964"
356,2025050505011946,NRIC,69,32,134,"1,226","164,284"
357,2025050505011945,NRIC,69,59,59,"1,226","72,334"
358,2025050505011944,NRIC,69,16,200,"1,225","245,000"
359,2025050505011943,NRIC,69,16,200,"1,225","245,000"
360,2025050505011942,NRIC,69,52,43,"1,225","52,675"
361,2025050505011941,NRIC,69,21,13,"1,224","15,912"
362,2025050503008950,SMFBS,45,48,25,"1,637","40,925"
363,2025050503008949,SMFBS,45,48,10,"1,640","16,400"
364,2025050501015362,RFPL,3,44,75,550,"41,250"
365,2025050501015361,RFPL,14,44,30,550,"16,500"
366,2025050501015360,RFPL,46,44,20,550,"11,000"
367,2025050501015359,RFPL,16,44,100,550,"55,000"
368,2025050501015358,RFPL,41,44,94,550,"51,700"
369,2025050501015357,RFPL,41,44,100,550,"55,000"
370,2025050501015356,RFPL,19,44,100,550,"55,000"
371,2025050501015355,RFPL,41,44,180,550,"99,000"
372,2025050501015354,RFPL,49,44,100,550,"55,000"
373,2025050501015353,RFPL,3,44,50,550,"27,500"
374,2025050501015352,RFPL,41,44,50,550,"27,500"
375,2025050501015351,RFPL,22,44,25,550,"13,750"
376,2025050501015350,RFPL,42,44,100,550,"55,000"
377,2025050501015349,RFPL,13,44,10,550,"5,500"
378,2025050501015348,RFPL,34,44,56,550,"30,800"
379,2025050504029271,UPPER,57,51,500,197.9,"98,950"
380,2025050503008948,GMFIL,57,58,50,467,"23,350"
381,2025050505011940,NIFRA,6,91,50,286,"14,300"
382,2025050501015347,USHEC,13,6,10,548.2,"5,482"
383,2025050504029270,UMHL,39,6,10,502,"5,020"
384,2025050501015346,DOLTI,32,50,25,586,"14,650"
385,2025050503008947,LLBS,32,35,10,"1,031","10,310"
386,2025050504029269,RADHI,41,56,500,700,"350,000"
387,2025050504029268,SHPC,39,49,100,586,"58,600"
388,2025050504029267,CHCL,49,39,10,489,"4,890"
389,2025050505011939,NRN,44,66,50,"2,113","105,650"
390,2025050501015345,ANLB,39,25,10,"5,310.10","53,101"
391,2025050505011938,HRL,55,19,100,970.2,"97,020"
392,2025050504029266,NGPL,36,45,25,368.4,"9,210"
393,2025050504029265,SHPC,13,49,"1,000",586,"586,000"
394,2025050505011937,SHIVM,49,55,220,522.3,"114,906"
395,2025050505011936,SHIVM,58,55,500,522.3,"261,150"
396,2025050505011935,SHIVM,58,55,280,522.3,"146,244"
397,2025050504029264,RURU,41,59,80,700,"56,000"
398,2025050504029263,RURU,57,59,73,700,"51,100"
399,2025050504029262,RURU,14,59,47,700,"32,900"
400,2025050504029261,RURU,43,59,50,700.1,"35,005"
401,2025050504029260,RURU,21,59,170,700.3,"119,051"
402,2025050504029259,RURU,32,59,80,702,"56,160"
403,2025050503008946,HLBSL,58,52,44,924,"40,656"
404,2025050504029258,AKPL,14,51,100,242,"24,200"
405,2025050504029257,AKPL,38,51,50,242,"12,100"
406,2025050505011934,SAHAS,50,57,100,503,"50,300"
407,2025050504029256,UPPER,58,8,100,197.8,"19,780"
408,2025050501015344,BHL,42,39,300,218.5,"65,550"
409,2025050501015343,BHL,48,39,700,218.5,"152,950"
410,2025050504029255,UMHL,39,51,100,502,"50,200"
411,2025050504029254,UMHL,39,50,785,502,"394,070"
412,2025050504029253,UMHL,39,71,"1,990",502,"998,980"
413,2025050504029252,NGPL,49,49,200,368,"73,600"
414,2025050503008945,JBBL,48,45,20,319,"6,380"
415,2025050503008944,JBBL,44,45,50,319,"15,950"
416,2025050503008943,JBBL,35,45,200,319,"63,800"
417,2025050503008942,JBBL,44,45,10,319,"3,190"
418,2025050503008941,JBBL,53,45,300,319,"95,700"
419,2025050503008940,JBBL,42,45,200,319,"63,800"
420,2025050503008939,JBBL,42,45,100,319,"31,900"
421,2025050503008938,JBBL,58,45,50,319,"15,950"
422,2025050503008937,JBBL,32,45,39,319,"12,441"
423,2025050501015342,MKHC,39,45,35,465.4,"16,289"
424,2025050504029251,SHPC,95,49,500,586,"293,000"
425,2025050504029250,PMHPL,38,95,20,306,"6,120"
426,2025050504029249,PMHPL,53,95,30,306,"9,180"
427,2025050504029248,UPCL,67,16,"2,190",379.5,"831,105"
428,2025050504029247,UPCL,6,16,310,379.9,"117,769"
429,2025050505011933,SONA,42,16,10,455,"4,550"
430,2025050503008936,MDB,45,55,112,591,"66,192"
431,2025050503008935,MDB,54,55,10,591,"5,910"
432,2025050503008934,MDB,38,55,300,591,"177,300"
433,2025050503008933,MDB,42,55,48,591,"28,368"
434,2025050503008932,MDB,35,55,10,592,"5,920"
435,2025050503008931,MDB,57,55,50,592,"29,600"
436,2025050503008930,MDB,55,55,10,593,"5,930"
437,2025050503008929,MDB,33,55,20,593,"11,860"
438,2025050503008928,MDB,70,55,590,593,"349,870"
439,2025050505011932,ENL,51,55,10,"1,115","11,150"
440,2025050503008927,SINDU,41,5,33,950,"31,350"
441,2025050501015341,MKJC,36,52,125,524,"65,500"
442,2025050501015340,MKJC,34,52,300,524,"157,200"
443,2025050501015339,MKJC,47,52,50,524.1,"26,205"
444,2025050501015338,MKJC,3,52,30,525,"15,750"
445,2025050501015337,MKJC,29,52,100,525,"52,500"
446,2025050501015336,MKJC,33,52,30,525,"15,750"
447,2025050501015335,MKJC,45,52,50,525,"26,250"
448,2025050501015334,MKJC,39,52,100,525,"52,500"
449,2025050501015333,MKJC,65,52,15,525,"7,875"
450,2025050501015332,MKJC,55,52,200,525.1,"105,020"
451,2025050503008926,MLBL,51,28,20,366,"7,320"
452,2025050503008925,MLBBL,17,21,160,"1,420","227,200"
453,2025050503008924,MLBBL,17,34,40,"1,419.90","56,796"
454,2025050501015331,RFPL,34,88,10,550,"5,500"
455,2025050501015330,MKHC,57,52,10,471,"4,710"
456,2025050505011931,NRIC,69,70,400,"1,223.20","489,280"
457,2025050503008923,SINDU,87,53,31,951,"29,481"
458,2025050504029246,RADHI,62,56,198,700,"138,600"
459,2025050504029245,RADHI,62,40,14,700,"9,800"
460,2025050504029244,RADHI,62,19,88,699,"61,512"
461,2025050501015329,USHEC,32,89,20,549,"10,980"
462,2025050503008922,KSBBL,32,35,300,437,"131,100"
463,2025050501015328,SARBTM,41,6,10,868,"8,680"
464,2025050501015327,TAMOR,3,5,72,500,"36,000"
465,2025050501015326,ULHC,58,91,200,470.4,"94,080"
466,2025050501015325,ULHC,17,91,213,470.5,"100,216.50"
467,2025050501015324,ULHC,47,91,300,471,"141,300"
468,2025050501015323,ULHC,58,91,11,471,"5,181"
469,2025050501015322,ULHC,58,91,11,472,"5,192"
470,2025050501015321,ULHC,14,91,50,472.1,"23,605"
471,2025050501015320,ULHC,58,91,11,473,"5,203"
472,2025050503008921,MLBL,58,28,30,366,"10,980"
473,2025050504029243,RIDI,53,39,125,258,"32,250"
474,2025050504029242,RIDI,53,45,75,257.7,"19,327.50"
475,2025050505011930,RNLI,52,59,"2,000",505,"1,010,000"
476,2025050501015319,BNHC,74,4,20,504.9,"10,098"
477,2025050503008920,ICFC,64,58,100,569.9,"56,990"
478,2025050504029241,UPCL,44,13,30,380,"11,400"
