SN,ContractNo,Symbol,Buyer,Seller,Quantity,Rate,Amount
"1","2025052705009339","PHCL","100","16","330","572","188,760"
"2","2025052705009338","PHCL","100","50","10","572","5,720"
"3","2025052705009337","PHCL","100","26","100","571.20","57,120"
"4","2025052705009336","PHCL","100","42","10","571.20","5,712"
"5","2025052704022691","RIDI","25","45","350","251.10","87,885"
"6","2025052704022690","RIDI","94","45","100","251.50","25,150"
"7","2025052704022689","RIDI","58","45","50","251.70","12,585"
"8","2025052701017604","SPC","56","6","20","505","10,100"
"9","2025052703009987","CFCL","48","42","78","523","40,794"
"10","2025052703009986","CFCL","7","42","20","523","10,460"
"11","2025052703009985","CFCL","52","42","50","523","26,150"
"12","2025052703009984","CFCL","4","42","10","523","5,230"
"13","2025052703009983","CFCL","52","42","284","523","148,532"
"14","2025052703009982","CFCL","57","42","20","523.20","10,464"
"15","2025052701017603","BHL","42","1","10","215.70","2,157"
"16","2025052701017602","ULBSL","38","32","10","3,500","35,000"
"17","2025052701017601","ANLB","38","57","10","5,429","54,290"
"18","2025052704022688","PMHPL","55","25","100","286","28,600"
"19","2025052705009335","RNLI","49","44","35","508","17,780"
"20","2025052701017600","BNT","13","54","10","12,600","126,000"
"21","2025052704022687","API","57","43","45","291.40","13,113"
"22","2025052703009981","SINDU","58","4","18","868","15,624"
"23","2025052701017599","SMHL","72","65","30","940","28,200"
"24","2025052701017598","DORDI","48","38","40","389","15,560"
"25","2025052704022686","AHPC","28","34","535","279","149,265"
"26","2025052703009980","KMCDB","28","25","10","1,058","10,580"
"27","2025052704022685","NHPC","34","8","50","216.50","10,825"
"28","2025052703009979","SAPDBL","17","72","355","900","319,500"
"29","2025052704022684","SHEL","13","75","50","264.60","13,230"
"30","2025052704022683","UPCL","80","81","200","458","91,600"
"31","2025052704022682","UPCL","80","34","50","457.90","22,895"
"32","2025052701017597","CREST","54","55","40","1,801","72,040"
"33","2025052704022681","RHPL","55","14","80","378","30,240"
"34","2025052704022680","RHPL","55","54","20","378","7,560"
"35","2025052703009978","NABBC","20","21","10","1,556.90","15,569"
"36","2025052704022679","RADHI","6","58","120","792","95,040"
"37","2025052704022678","NGPL","57","33","20","388.30","7,766"
"38","2025052701017596","BHPL","26","37","10","853","8,530"
"39","2025052704022677","UNHPL","91","1","75","324.40","24,330"
"40","2025052704022676","UNHPL","91","40","25","323.40","8,085"
"41","2025052704022675","UNHPL","91","21","200","323","64,600"
"42","2025052704022674","SHPC","5","91","1,208","562.50","679,500"
"43","2025052704022673","SHPC","63","91","1,000","562.80","562,800"
"44","2025052701017595","NMIC","56","17","10","1,900","19,000"
"45","2025052704022672","UMRH","8","80","10","554.90","5,549"
"46","2025052701017594","LSL","57","17","50","227.20","11,360"
"47","2025052701017593","LSL","57","26","50","227.20","11,360"
"48","2025052704022671","NGPL","57","34","100","388.30","38,830"
"49","2025052704022670","PRIN","45","53","80","851","68,080"
"50","2025052704022669","PRIN","59","53","20","851","17,020"
"51","2025052705009334","SONA","33","41","650","456.30","296,595"
"52","2025052704022668","SALICO","43","39","692","675.20","467,238.40"
"53","2025052704022667","SALICO","43","39","258","675.20","174,201.60"
"54","2025052704022666","GHL","47","45","10","245","2,450"
"55","2025052704022665","RADHI","7","58","100","792","79,200"
"56","2025052703009977","SADBL","84","32","224","422.80","94,707.20"
"57","2025052703009976","SADBL","84","44","200","422.80","84,560"
"58","2025052703009975","SADBL","84","43","300","422.80","126,840"
"59","2025052703009974","SADBL","84","55","50","422","21,100"
"60","2025052703009973","SADBL","84","49","226","422","95,372"
"61","2025052704022664","HURJA","59","58","10","246","2,460"
"62","2025052703009972","SJLIC","45","19","28","436","12,208"
"63","2025052703009971","SJLIC","34","19","100","436","43,600"
"64","2025052703009970","SJLIC","36","19","200","436.20","87,240"
"65","2025052703009969","SJLIC","47","19","50","436.30","21,815"
"66","2025052703009968","SJLIC","57","19","44","436.40","19,201.60"
"67","2025052703009967","SJLIC","43","19","50","436.90","21,845"
"68","2025052703009966","SJLIC","53","19","100","437","43,700"
"69","2025052703009965","SJLIC","47","19","50","437","21,850"
"70","2025052703009964","SJLIC","41","19","50","437","21,850"
"71","2025052703009963","SJLIC","21","19","410","437.20","179,252"
"72","2025052703009962","SJLIC","6","19","50","437.30","21,865"
"73","2025052703009961","SJLIC","13","19","150","437.30","65,595"
"74","2025052704022663","RURU","35","22","27","686.50","18,535.50"
"75","2025052701017592","NWCL","55","51","10","933.90","9,339"
"76","2025052701017591","MANDU","56","90","45","865","38,925"
"77","2025052703009960","USLB","40","58","11","2,070","22,770"
"78","2025052704022662","SHPC","43","50","200","563","112,600"
"79","2025052704022661","SPIL","36","84","290","833.80","241,802"
"80","2025052704022660","SPIL","36","48","100","833.20","83,320"
"81","2025052704022659","SPIL","36","63","399","831.50","331,768.50"
"82","2025052704022658","SPIL","36","78","201","831.30","167,091.30"
"83","2025052704022657","SPIL","36","6","10","831.10","8,311"
"84","2025052704022656","RADHI","17","100","1,500","791","1,186,500"
"85","2025052704022655","RADHI","64","100","500","791.10","395,550"
"86","2025052703009959","SINDU","58","72","15","870","13,050"
"87","2025052703009958","NUBL","36","71","155","703","108,965"
"88","2025052703009957","NUBL","36","71","145","702","101,790"
"89","2025052703009956","NUBL","36","57","100","701.90","70,190"
"90","2025052701017590","TAMOR","45","58","500","502.30","251,150"
"91","2025052704022654","SHPC","94","50","100","563","56,300"
"92","2025052701017589","HHL","32","49","200","422","84,400"
"93","2025052701017588","UNLB","49","57","10","2,130","21,300"
"94","2025052704022653","SPDL","57","59","20","363","7,260"
"95","2025052701017587","MKHC","57","99","10","407.90","4,079"
"96","2025052703009955","MLBSL","74","49","50","2,282","114,100"
"97","2025052704022652","OHL","45","58","50","900","45,000"
"98","2025052704022651","OHL","47","58","150","900","135,000"
"99","2025052704022650","OHL","49","58","500","900.20","450,100"
"100","2025052704022649","OHL","57","58","200","900.30","180,060"
"101","2025052704022648","OHL","54","58","35","900.50","31,517.50"
"102","2025052704022647","OHL","56","58","500","901","450,500"
"103","2025052704022646","OHL","42","58","100","902","90,200"
"104","2025052704022645","SSHL","38","4","24","230","5,520"
"105","2025052704022644","SSHL","51","4","30","230","6,900"
"106","2025052704022643","SSHL","45","4","10","230","2,300"
"107","2025052704022642","SSHL","42","4","60","230","13,800"
"108","2025052704022641","SSHL","22","4","506","230","116,380"
"109","2025052704022640","SSHL","57","4","100","230","23,000"
"110","2025052704022639","SSHL","58","4","170","230","39,100"
"111","2025052704022638","SSHL","6","4","100","230.20","23,020"
"112","2025052704022637","RADHI","29","58","50","792","39,600"
"113","2025052701017586","NBL","5","41","100","258.70","25,870"
"114","2025052704022636","UPCL","29","67","100","457","45,700"
"115","2025052705009333","SONA","33","3","200","456.30","91,260"
"116","2025052703009954","EDBL","34","47","70","590","41,300"
"117","2025052703009953","EDBL","34","26","30","589.80","17,694"
"118","2025052703009952","NADEP","34","26","20","870","17,400"
"119","2025052705009332","MBJC","52","34","81","310","25,110"
"120","2025052705009331","MBJC","57","34","250","310","77,500"
"121","2025052705009330","MBJC","58","34","100","310","31,000"
"122","2025052705009329","MBJC","22","34","20","310","6,200"
"123","2025052705009328","MBJC","45","34","15","310.30","4,654.50"
"124","2025052705009327","MBJC","29","34","406","310.30","125,981.80"
"125","2025052705009326","MBJC","26","34","78","310.50","24,219"
"126","2025052705009325","HIDCL","38","13","100","295.30","29,530"
"127","2025052704022635","AKPL","42","39","75","240.20","18,015"
"128","2025052704022634","AKPL","42","39","200","240.30","48,060"
"129","2025052704022633","AKPL","40","39","25","241","6,025"
"130","2025052703009951","SLBSL","62","47","10","1,529.90","15,299"
"131","2025052704022632","UPCL","29","65","500","457","228,500"
"132","2025052704022631","TRH","22","65","10","933","9,330"
"133","2025052705009324","GCIL","55","47","368","500.20","184,073.60"
"134","2025052705009323","GCIL","37","47","132","500.30","66,039.60"
"135","2025052701017585","SPL","7","34","10","800.90","8,009"
"136","2025052701017584","GBIME","40","52","1,405","240.30","337,621.50"
"137","2025052701017583","GBIME","57","52","595","240.40","143,038"
"138","2025052704022630","PPCL","52","49","10","327.90","3,279"
"139","2025052704022629","SHEL","13","59","50","264.60","13,230"
"140","2025052704022628","SHPC","50","50","100","563","56,300"
"141","2025052703009950","HLI","50","48","10","408","4,080"
"142","2025052704022627","PPCL","60","49","10","327.90","3,279"
"143","2025052701017582","MHL","22","34","20","619.40","12,388"
"144","2025052704022626","SHPC","97","50","20","563","11,260"
"145","2025052705009322","HIDCL","38","11","335","295.30","98,925.50"
"146","2025052704022625","RADHI","17","83","200","791","158,200"
"147","2025052704022624","RADHI","32","83","800","791.10","632,880"
"148","2025052701017581","NMIC","49","58","10","1,900","19,000"
"149","2025052701017580","GBIME","42","36","80","242","19,360"
"150","2025052701017579","GBIME","42","34","500","241.90","120,950"
"151","2025052701017578","GBIME","42","41","74","241.90","17,900.60"
"152","2025052704022623","UPCL","42","81","409","458","187,322"
"153","2025052701017577","GBIME","42","1","193","241.90","46,686.70"
"154","2025052704022622","UPCL","42","38","50","458","22,900"
"155","2025052701017576","GBIME","42","94","100","241.80","24,180"
"156","2025052704022621","UPCL","42","38","100","458","45,800"
"157","2025052701017575","GBIME","42","35","53","241","12,773"
"158","2025052704022620","UPCL","42","4","144","458","65,952"
"159","2025052704022619","UPCL","42","48","500","458","229,000"
"160","2025052704022618","UPCL","42","43","300","458","137,400"
"161","2025052704022617","UPCL","42","45","25","458","11,450"
"162","2025052704022616","UPCL","42","7","500","458","229,000"
"163","2025052704022615","UPCL","42","98","382","458","174,956"
"164","2025052704022614","UPCL","42","25","90","457.10","41,139"
"165","2025052701017574","PRVU","75","56","133","213.40","28,382.20"
"166","2025052701017573","PRVU","32","56","10","213.50","2,135"
"167","2025052701017572","PRVU","34","56","300","213.50","64,050"
"168","2025052704022613","BPCL","1","49","300","535","160,500"
"169","2025052701017571","NICA","50","53","258","362","93,396"
"170","2025052705009321","NIFRA","70","26","800","277.60","222,080"
"171","2025052705009320","NIFRA","58","26","200","277.80","55,560"
"172","2025052704022612","RIDI","26","48","100","252","25,200"
"173","2025052704022611","RADHI","72","58","200","792","158,400"
"174","2025052703009949","SINDU","55","72","55","868","47,740"
"175","2025052703009948","SINDU","35","72","398","868","345,464"
"176","2025052703009947","SINDU","40","72","30","869","26,070"
"177","2025052703009946","SINDU","39","72","100","869","86,900"
"178","2025052703009945","SINDU","1","72","10","869","8,690"
"179","2025052704022610","UPCL","29","92","100","457","45,700"
"180","2025052705009319","CHDC","32","77","10","2,525","25,250"
"181","2025052703009944","LBBL","34","48","247","455","112,385"
"182","2025052703009943","LBBL","34","1","510","454.90","231,999"
"183","2025052703009942","LBBL","34","44","500","454.90","227,450"
"184","2025052703009941","LBBL","34","44","500","453.90","226,950"
"185","2025052703009940","LBBL","34","70","520","452.50","235,300"
"186","2025052703009939","LBBL","34","13","15","451","6,765"
"187","2025052703009938","LBBL","34","63","208","451","93,808"
"188","2025052703009937","LBBL","34","63","150","451","67,650"
"189","2025052701017570","UHEWA","34","50","73","610.70","44,581.10"
"190","2025052701017569","UHEWA","34","59","310","610.60","189,286"
"191","2025052701017568","UHEWA","34","90","190","610.60","116,014"
"192","2025052701017567","UHEWA","34","37","10","610","6,100"
"193","2025052701017566","UHEWA","34","41","100","609","60,900"
"194","2025052701017565","UHEWA","34","49","10","605","6,050"
"195","2025052701017564","UHEWA","34","42","379","604","228,916"
"196","2025052701017563","UHEWA","34","41","10","604","6,040"
"197","2025052701017562","UHEWA","34","42","10","603","6,030"
"198","2025052701017561","UHEWA","34","21","50","603","30,150"
"199","2025052701017560","UHEWA","34","59","20","603","12,060"
"200","2025052701017559","UHEWA","34","35","70","603","42,210"
"201","2025052701017558","UHEWA","34","58","100","603","60,300"
"202","2025052701017557","UHEWA","34","29","289","602","173,978"
"203","2025052701017556","UHEWA","34","48","379","601","227,779"
"204","2025052701017555","MKCL","34","13","10","1,549.80","15,498"
"205","2025052704022609","GHL","48","36","230","244.10","56,143"
"206","2025052704022608","GHL","1","36","50","244.20","12,210"
"207","2025052701017554","NBL","6","16","10","256.50","2,565"
"208","2025052705009318","HDL","16","16","29","1,216","35,264"
"209","2025052704022607","SHPC","63","50","800","562.80","450,240"
"210","2025052703009936","JBBL","37","22","200","334","66,800"
"211","2025052703009935","JBBL","57","22","50","334","16,700"
"212","2025052704022606","AKJCL","47","58","50","206","10,300"
"213","2025052704022605","RURU","35","58","80","686.50","54,920"
"214","2025052704022604","NGPL","98","25","400","388","155,200"
"215","2025052704022603","BPCL","86","47","400","535.50","214,200"
"216","2025052704022602","BPCL","86","43","50","535.40","26,770"
"217","2025052704022601","BPCL","86","19","50","535.20","26,760"
"218","2025052705009317","ILI","25","42","327","453.10","148,163.70"
"219","2025052705009316","ILI","32","42","89","453.10","40,325.90"
"220","2025052705009315","PSF","42","8","1,000","10.84","10,840"
"221","2025052705009314","NRM","42","36","380","454.20","172,596"
"222","2025052705009313","NRM","42","34","220","454.10","99,902"
"223","2025052704022600","BPCL","62","57","40","535","21,400"
"224","2025052703009934","SFCL","47","21","80","483.50","38,680"
"225","2025052703009933","SINDU","1","57","20","869","17,380"
"226","2025052703009932","SINDU","42","57","10","869","8,690"
"227","2025052705009312","HRL","49","57","150","933.70","140,055"
"228","2025052705009311","HRL","29","57","50","933.70","46,685"
"229","2025052703009931","PMLI","44","45","50","552","27,600"
"230","2025052703009930","PMLI","44","42","255","552","140,760"
"231","2025052701017553","MEHL","26","19","110","447","49,170"
"232","2025052701017552","MEHL","26","16","90","445","40,050"
"233","2025052704022599","SPIL","43","56","550","827.20","454,960"
"234","2025052704022598","UMHL","32","68","10","515","5,150"
"235","2025052701017551","BNHC","34","58","23","534","12,282"
"236","2025052701017550","BNHC","34","47","480","533.50","256,080"
"237","2025052701017549","BNHC","34","32","297","533","158,301"
"238","2025052701017548","USHEC","39","59","10","477.30","4,773"
"239","2025052701017547","SAMAJ","62","62","20","2,459.90","49,198"
"240","2025052704022597","RIDI","41","48","150","252","37,800"
"241","2025052701017546","MMKJL","42","46","10","594","5,940"
"242","2025052704022596","RURU","35","60","41","686.50","28,146.50"
"243","2025052701017545","HIDCLP","96","44","245","202.50","49,612.50"
"244","2025052705009310","NTC","52","59","10","879","8,790"
"245","2025052704022595","UPCL","55","25","30","457.10","13,713"
"246","2025052705009309","NRIC","6","63","53","1,266","67,098"
"247","2025052701017544","MKJC","33","88","156","490","76,440"
"248","2025052701017543","MKJC","33","49","844","490","413,560"
"249","2025052701017542","RAWA","36","35","100","803.20","80,320"
"250","2025052704022594","API","35","43","100","291.40","29,140"
"251","2025052704022593","SICL","35","3","16","746.10","11,937.60"
"252","2025052703009929","SADBL","58","49","82","422","34,604"
"253","2025052703009928","SADBL","58","55","118","422","49,796"
"254","2025052705009308","SONA","58","13","100","456.90","45,690"
"255","2025052703009927","JBBL","36","42","174","334.10","58,133.40"
"256","2025052704022592","SSHL","42","42","20","230.30","4,606"
"257","2025052704022591","AKPL","42","32","50","241.90","12,095"
"258","2025052705009307","SMJC","44","91","10","503","5,030"
"259","2025052704022590","UPPER","36","3","352","200.50","70,576"
"260","2025052704022589","UPPER","28","3","373","200.50","74,786.50"
"261","2025052704022588","UPPER","16","3","775","200.60","155,465"
"262","2025052701017541","USHL","28","44","30","624","18,720"
"263","2025052701017540","MKJC","34","49","100","490","49,000"
"264","2025052703009926","ALICL","13","75","46","709.30","32,627.80"
"265","2025052703009925","ALICL","62","75","109","709.40","77,324.60"
"266","2025052704022587","UPCL","65","25","20","457.10","9,142"
"267","2025052703009924","MFIL","21","50","140","594.20","83,188"
"268","2025052703009923","MFIL","28","50","60","594.30","35,658"
"269","2025052701017539","BGWT","34","35","270","923.10","249,237"
"270","2025052704022586","AKPL","53","51","59","241","14,219"
"271","2025052704022585","RADHI","91","58","100","792","79,200"
"272","2025052701017538","NIMB","58","78","439","217.70","95,570.30"
"273","2025052701017537","NIMB","58","47","500","217.60","108,800"
"274","2025052701017536","NIMB","58","57","561","217.50","122,017.50"
"275","2025052701017535","MKHL","42","94","130","745","96,850"
"276","2025052701017534","MKHL","57","94","200","746","149,200"
"277","2025052701017533","MKHL","21","94","10","746","7,460"
"278","2025052703009922","USLB","8","46","12","2,070","24,840"
"279","2025052703009921","USLB","8","58","18","2,070","37,260"
"280","2025052705009306","SHIVM","59","42","237","522.10","123,737.70"
"281","2025052701017532","HBL","8","49","326","232.40","75,762.40"
"282","2025052701017531","HBL","8","19","2,474","232","573,968"
"283","2025052701017530","HBL","8","34","1,000","231.90","231,900"
"284","2025052704022584","SHPC","42","50","50","563","28,150"
"285","2025052704022583","SHPC","42","52","50","563","28,150"
"286","2025052701017529","NMIC","49","42","10","1,900","19,000"
"287","2025052705009305","HIDCL","38","42","50","295.30","14,765"
"288","2025052705009304","HIDCL","71","42","250","295.30","73,825"
"289","2025052701017528","NMIC","49","42","10","1,900","19,000"
"290","2025052701017527","NMIC","49","49","10","1,900","19,000"
"291","2025052703009920","MLBL","21","42","10","392","3,920"
"292","2025052704022582","RIDI","16","48","200","252","50,400"
"293","2025052704022581","RIDI","58","48","100","252","25,200"
"294","2025052704022580","RIDI","22","48","250","252","63,000"
"295","2025052704022579","RIDI","14","48","130","252","32,760"
"296","2025052703009919","SINDU","48","72","10","870","8,700"
"297","2025052703009918","SAPDBL","3","72","200","900","180,000"
"298","2025052705009303","HRL","34","71","56","935","52,360"
"299","2025052705009302","HRL","34","57","33","935","30,855"
"300","2025052705009301","HRL","34","58","61","934","56,974"
"301","2025052704022578","RIDI","14","62","370","252","93,240"
"302","2025052704022577","RIDI","42","62","30","252","7,560"
"303","2025052704022576","RIDI","22","62","20","252","5,040"
"304","2025052704022575","RIDI","28","62","50","252","12,600"
"305","2025052704022574","RIDI","45","62","30","252","7,560"
"306","2025052704022573","RIDI","32","62","50","252","12,600"
"307","2025052704022572","RIDI","36","62","50","252","12,600"
"308","2025052704022571","RIDI","50","62","200","252","50,400"
"309","2025052704022570","RIDI","41","62","100","252","25,200"
"310","2025052704022569","RIDI","55","62","1,000","252","252,000"
"311","2025052704022568","RIDI","41","62","1,550","252","390,600"
"312","2025052704022567","RIDI","55","62","50","252.90","12,645"
"313","2025052703009917","CFCL","57","39","180","523.20","94,176"
"314","2025052704022566","GHL","42","41","146","244.10","35,638.60"
"315","2025052704022565","GHL","72","41","154","244.20","37,606.80"
"316","2025052701017526","GMLI","55","60","510","2,574","1,312,740"
"317","2025052704022564","AHPC","74","16","43","278.50","11,975.50"
"318","2025052704022563","BPCL","62","19","60","535","32,100"
"319","2025052704022562","BPCL","39","19","440","535","235,400"
"320","2025052705009300","RNLI","19","44","60","508","30,480"
"321","2025052703009916","NADEP","6","58","10","867","8,670"
"322","2025052701017525","BHL","6","1","50","215.70","10,785"
"323","2025052705009299","NRIC","6","37","120","1,266","151,920"
"324","2025052704022561","UPCL","14","25","60","457.10","27,426"
"325","2025052701017524","NIMB","17","57","13","217.50","2,827.50"
"326","2025052704022560","HDHPC","21","58","15","202","3,030"
"327","2025052704022559","HDHPC","21","62","500","202","101,000"
"328","2025052704022558","HDHPC","21","42","362","202","73,124"
"329","2025052704022557","HDHPC","21","49","68","201.90","13,729.20"
"330","2025052704022556","HDHPC","21","57","55","201.80","11,099"
"331","2025052704022555","DHPL","49","74","1,410","335","472,350"
"332","2025052704022554","DHPL","34","74","2,000","337.20","674,400"
"333","2025052704022553","DHPL","54","74","1,300","337.20","438,360"
"334","2025052704022552","DHPL","74","74","290","337.20","97,788"
"335","2025052703009915","SADBL","84","74","1,000","421","421,000"
"336","2025052704022551","BPCL","39","26","100","535","53,500"
"337","2025052701017523","SCB","26","34","10","628","6,280"
"338","2025052703009914","MLBL","6","34","220","390","85,800"
"339","2025052701017522","C30MF","55","62","500","9.85","4,925"
"340","2025052704022550","BPCL","39","17","10","535","5,350"
"341","2025052704022549","SHPC","63","80","800","562.80","450,240"
"342","2025052704022548","BPCL","39","10","20","535","10,700"
"343","2025052704022547","BPCL","39","41","50","535","26,750"
"344","2025052704022546","BPCL","39","22","50","535","26,750"
"345","2025052704022545","BPCL","39","58","30","535","16,050"
"346","2025052704022544","BPCL","39","58","300","535","160,500"
"347","2025052704022543","NGPL","98","43","950","388","368,600"
"348","2025052704022542","NGPL","98","21","126","388","48,888"
"349","2025052704022541","NGPL","98","34","1,000","388","388,000"
"350","2025052704022540","NGPL","98","43","1,500","388","582,000"
"351","2025052704022539","NGPL","98","42","2,064","388","800,832"
"352","2025052701017521","MCHL","59","50","250","551.40","137,850"
"353","2025052703009913","RLFL","4","50","90","476.20","42,858"
"354","2025052703009912","RLFL","34","50","60","476.30","28,578"
"355","2025052703009911","RLFL","52","50","400","476.50","190,600"
"356","2025052703009910","RLFL","56","50","100","477","47,700"
"357","2025052703009909","RLFL","45","50","10","478","4,780"
"358","2025052701017520","GBIME","57","22","50","240.40","12,020"
"359","2025052701017519","CYCL","22","1","30","1,700","51,000"
"360","2025052701017518","CYCL","22","38","13","1,700","22,100"
"361","2025052701017517","CYCL","22","58","20","1,700","34,000"
"362","2025052701017516","CREST","54","22","10","1,801","18,010"
"363","2025052704022538","UPCL","58","98","118","458","54,044"
"364","2025052704022537","UPCL","58","60","382","458","174,956"
"365","2025052704022536","NGPL","87","22","10","387.40","3,874"
"366","2025052704022535","NGPL","62","22","10","387.50","3,875"
"367","2025052704022534","UNHPL","34","41","23","321.70","7,399.10"
"368","2025052704022533","RADHI","17","100","200","791","158,200"
"369","2025052701017515","JBLB","35","33","23","1,310","30,130"
"370","2025052701017514","JBLB","55","33","72","1,310","94,320"
"371","2025052705009298","CIT","45","58","20","1,919","38,380"
"372","2025052704022532","UPCL","29","54","100","457","45,700"
"373","2025052703009908","NFS","34","49","52","619","32,188"
"374","2025052703009907","NFS","45","49","50","619","30,950"
"375","2025052703009906","NFS","46","49","28","619","17,332"
"376","2025052703009905","NUBL","42","57","100","701.90","70,190"
"377","2025052703009904","MSLB","62","57","10","1,254","12,540"
"378","2025052704022531","HPPL","19","26","100","486","48,600"
"379","2025052704022530","HPPL","42","26","200","486","97,200"
"380","2025052704022529","HPPL","58","26","100","486","48,600"
"381","2025052704022528","HPPL","86","26","50","486","24,300"
"382","2025052705009297","HRL","56","58","100","934","93,400"
"383","2025052704022527","SSHL","56","42","500","230.30","115,150"
"384","2025052704022526","GLH","1","32","20","253","5,060"
"385","2025052704022525","GLH","38","32","30","253","7,590"
"386","2025052701017513","GMLI","55","17","10","2,574","25,740"
"387","2025052703009903","FMDBL","46","42","455","758","344,890"
"388","2025052703009902","FMDBL","46","42","45","758","34,110"
"389","2025052704022524","RADHI","47","55","50","791","39,550"
"390","2025052705009296","PHCL","100","48","25","571","14,275"
"391","2025052705009295","PHCL","100","94","10","571","5,710"
"392","2025052705009294","PHCL","100","17","10","570","5,700"
"393","2025052705009293","PHCL","100","19","10","570","5,700"
"394","2025052705009292","PHCL","100","13","10","570","5,700"
"395","2025052705009291","PHCL","100","14","10","570","5,700"
"396","2025052705009290","PHCL","100","58","10","570","5,700"
"397","2025052705009289","PHCL","100","47","10","570","5,700"
"398","2025052705009288","PHCL","100","21","50","570","28,500"
"399","2025052705009287","PHCL","100","49","850","569","483,650"
"400","2025052705009286","PHCL","100","13","25","565","14,125"
"401","2025052705009285","PHCL","100","58","10","565","5,650"
"402","2025052705009284","PHCL","100","7","10","565","5,650"
"403","2025052705009283","PHCL","100","57","1,810","565","1,022,650"
"404","2025052705009282","PHCL","100","71","520","564.90","293,748"
"405","2025052705009281","PHCL","100","56","1,000","564","564,000"
"406","2025052705009280","PHCL","100","56","80","564","45,120"
"407","2025052705009279","PHCL","100","50","90","563.90","50,751"
"408","2025052705009278","PHCL","100","1","10","562.40","5,624"
"409","2025052705009277","SAHAS","37","11","150","518","77,700"
"410","2025052704022523","RIDI","7","6","1,000","252.10","252,100"
"411","2025052704022522","HPPL","86","25","10","486","4,860"
"412","2025052704022521","UPCL","29","42","40","457","18,280"
"413","2025052704022520","SSHL","38","42","100","230.30","23,030"
"414","2025052705009276","NIFRA","70","49","111","277.60","30,813.60"
"415","2025052705009275","NIFRA","56","49","200","277.60","55,520"
"416","2025052705009274","NIFRA","18","49","50","277.60","13,880"
"417","2025052705009273","NIFRA","57","49","50","277.80","13,890"
"418","2025052705009272","NIFRA","36","49","20","277.80","5,556"
"419","2025052705009271","NIFRA","35","49","25","277.80","6,945"
"420","2025052705009270","NIFRA","54","49","127","277.80","35,280.60"
"421","2025052705009269","NIFRA","34","49","42","277.90","11,671.80"
"422","2025052705009268","NIFRA","34","49","375","278","104,250"
"423","2025052704022519","UPCL","72","60","10","458","4,580"
"424","2025052703009901","SAPDBL","48","57","10","899","8,990"
"425","2025052703009900","SAPDBL","48","38","170","899","152,830"
"426","2025052705009267","MBJC","26","32","50","310.50","15,525"
"427","2025052704022518","RADHI","47","32","43","791","34,013"
"428","2025052704022517","RADHI","45","32","57","791","45,087"
"429","2025052704022516","KKHC","34","19","20","345.90","6,918"
"430","2025052704022515","SPDL","19","59","35","363.50","12,722.50"
