SN,ContractNo,Symbol,Buyer,Seller,Quantity,Rate,Amount
"431","2025052704022514","SPDL","70","59","12","364","4,368"
"432","2025052703009899","MSLB","62","36","79","1,254","99,066"
"433","2025052703009898","MSLB","62","36","100","1,254","125,400"
"434","2025052703009897","MSLB","62","36","16","1,254","20,064"
"435","2025052704022513","LEC","42","40","380","211.30","80,294"
"436","2025052705009266","HIDCL","71","35","100","295.30","29,530"
"437","2025052705009265","HRL","14","58","39","934","36,426"
"438","2025052701017512","GBIME","40","51","94","240.30","22,588.20"
"439","2025052705009264","HRL","14","58","20","934","18,680"
"440","2025052701017511","NMIC","8","38","10","1,900","19,000"
"441","2025052701017510","SRLI","8","14","50","408","20,400"
"442","2025052701017509","MKHC","42","8","130","406.80","52,884"
"443","2025052704022512","AHPC","38","34","100","279","27,900"
"444","2025052704022511","UPCL","29","57","300","457","137,100"
"445","2025052705009263","CHDC","1","94","50","2,505","125,250"
"446","2025052705009262","CHDC","57","94","100","2,505","250,500"
"447","2025052705009261","CHDC","72","94","100","2,506","250,600"
"448","2025052705009260","CHDC","51","94","10","2,506","25,060"
"449","2025052705009259","CHDC","38","94","50","2,507","125,350"
"450","2025052705009258","CHDC","50","94","100","2,507","250,700"
"451","2025052705009257","CHDC","56","94","200","2,507","501,400"
"452","2025052705009256","CHDC","7","94","10","2,507","25,070"
"453","2025052705009255","CHDC","7","94","200","2,507.10","501,420"
"454","2025052705009254","CHDC","34","94","100","2,508","250,800"
"455","2025052705009253","CHDC","14","94","100","2,508.20","250,820"
"456","2025052705009252","CHDC","19","94","150","2,509","376,350"
"457","2025052705009251","CHDC","99","94","200","2,509","501,800"
"458","2025052705009250","CHDC","99","94","34","2,509","85,306"
"459","2025052705009249","CHDC","64","94","50","2,510","125,500"
"460","2025052705009248","CHDC","40","94","150","2,510","376,500"
"461","2025052704022510","RADHI","72","58","81","792","64,152"
"462","2025052704022509","RADHI","72","91","60","791.90","47,514"
"463","2025052704022508","RADHI","72","38","59","791.90","46,722.10"
"464","2025052701017508","LSL","29","17","500","227.10","113,550"
"465","2025052701017507","LSL","29","54","50","227.10","11,355"
"466","2025052703009896","BFC","38","13","145","485.10","70,339.50"
"467","2025052705009247","HRL","14","75","41","934","38,294"
"468","2025052701017506","UHEWA","32","34","13","593.20","7,711.60"
"469","2025052703009895","BFC","38","34","300","485.10","145,530"
"470","2025052704022507","NGPL","34","42","500","388","194,000"
"471","2025052705009246","NRIC","6","17","2,605","1,266","3,297,930"
"472","2025052701017505","RFPL","47","7","248","470","116,560"
"473","2025052701017504","RFPL","49","7","32","470","15,040"
"474","2025052701017503","RFPL","22","7","40","470","18,800"
"475","2025052701017502","RFPL","8","7","100","470.10","47,010"
